set,k,q_squared,x_b,t,phi,sigma,sigma_stat_plus,sigma_stat_minus,Re[H],Im[H],Re[E],Im[E],Re[Ht],Im[Ht],Re[Et],Im[Et]
1,5.75,1.82,0.343,-0.172,0.0,0.1219882031114961,0.006099410155574805,0.006099410155574805,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,0.4487989505128276,0.11226672010728829,0.005613336005364415,0.005613336005364415,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,0.8975979010256552,0.09002327738509454,0.004501163869254727,0.004501163869254727,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,1.3463968515384828,0.06708777782133529,0.003354388891066765,0.003354388891066765,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,1.7951958020513104,0.04971617579607287,0.0024858087898036434,0.0024858087898036434,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,2.243994752564138,0.03869742020842224,0.0019348710104211122,0.0019348710104211122,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,2.6927937030769655,0.03285071166107006,0.001642535583053503,0.001642535583053503,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,3.141592653589793,0.031042126816276508,0.0015521063408138254,0.0015521063408138254,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,3.5903916041026207,0.03285071166107006,0.001642535583053503,0.001642535583053503,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,4.039190554615448,0.03869742020842224,0.0019348710104211122,0.0019348710104211122,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,4.487989505128276,0.04971617579607287,0.0024858087898036434,0.0024858087898036434,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,4.9367884556411035,0.06708777782133529,0.003354388891066765,0.003354388891066765,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,5.385587406153931,0.09002327738509454,0.004501163869254727,0.004501163869254727,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,5.834386356666759,0.11226672010728829,0.005613336005364415,0.005613336005364415,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
1,5.75,1.82,0.343,-0.172,6.283185307179586,0.1219882031114961,0.006099410155574805,0.006099410155574805,-2.774174980557727,2.9136429850046968,2.211953495028034,0.903,1.2435792535554773,1.3907833342037639,141.31637219464,5.383
